Page Count, Touch Count, Fault Count, Extra Faults
100000, 329, 329, 0
100000, 330, 330, 0
100000, 331, 331, 0
100000, 332, 332, 0
100000, 333, 333, 0
100000, 334, 334, 0
100000, 335, 335, 0
100000, 336, 336, 0
100000, 337, 337, 0
100000, 338, 338, 0
100000, 339, 339, 0
100000, 340, 340, 0
100000, 341, 341, 0
100000, 342, 342, 0
100000, 343, 343, 0
100000, 344, 344, 0
100000, 345, 345, 0
100000, 346, 346, 0
100000, 347, 347, 0
100000, 348, 348, 0
100000, 349, 349, 0
100000, 350, 350, 0
100000, 351, 351, 0
100000, 352, 352, 0
100000, 353, 353, 0
100000, 354, 354, 0
100000, 355, 355, 0
100000, 356, 356, 0
100000, 357, 357, 0
100000, 358, 358, 0
100000, 359, 359, 0
100000, 360, 360, 0
100000, 361, 361, 0
100000, 362, 362, 0
100000, 363, 363, 0
100000, 364, 364, 0
100000, 365, 365, 0
100000, 366, 366, 0
100000, 367, 367, 0
100000, 368, 368, 0
100000, 369, 369, 0
100000, 370, 370, 0
100000, 371, 371, 0
100000, 372, 372, 0
100000, 373, 373, 0
100000, 374, 374, 0
100000, 375, 375, 0
100000, 376, 376, 0
100000, 377, 377, 0
100000, 378, 378, 0
100000, 379, 379, 0
100000, 380, 380, 0
100000, 381, 381, 0
100000, 382, 382, 0
100000, 383, 383, 0
100000, 384, 384, 0
100000, 385, 385, 0
100000, 386, 386, 0
100000, 387, 387, 0
100000, 388, 388, 0
100000, 389, 389, 0
100000, 390, 390, 0
100000, 391, 391, 0
100000, 392, 392, 0
100000, 393, 393, 0
100000, 394, 394, 0
100000, 395, 395, 0
100000, 396, 396, 0
100000, 397, 397, 0
100000, 398, 398, 0
100000, 399, 399, 0
100000, 400, 400, 0
100000, 401, 401, 0
100000, 402, 402, 0
100000, 403, 403, 0
100000, 404, 404, 0
100000, 405, 405, 0
100000, 406, 406, 0
100000, 407, 407, 0
100000, 408, 408, 0
100000, 409, 409, 0
100000, 410, 410, 0
100000, 411, 411, 0
100000, 412, 412, 0
100000, 413, 413, 0
100000, 414, 414, 0
100000, 415, 415, 0
100000, 416, 416, 0
100000, 417, 417, 0
100000, 418, 418, 0
100000, 419, 419, 0
100000, 420, 420, 0
100000, 421, 421, 0
100000, 422, 422, 0
100000, 423, 423, 0
100000, 424, 424, 0
100000, 425, 425, 0
100000, 426, 426, 0
100000, 427, 427, 0
100000, 428, 428, 0
100000, 429, 429, 0
100000, 430, 430, 0
100000, 431, 431, 0
100000, 432, 432, 0
100000, 433, 433, 0
100000, 434, 434, 0
100000, 435, 435, 0
100000, 436, 436, 0
100000, 437, 437, 0
100000, 438, 438, 0
100000, 439, 439, 0
100000, 440, 440, 0
100000, 441, 441, 0
100000, 442, 442, 0
100000, 443, 443, 0
100000, 444, 444, 0
100000, 445, 445, 0
100000, 446, 446, 0
100000, 447, 447, 0
100000, 448, 448, 0
100000, 449, 449, 0
100000, 450, 450, 0
100000, 451, 451, 0
100000, 452, 452, 0
100000, 453, 453, 0
100000, 454, 454, 0
100000, 455, 455, 0
100000, 456, 456, 0
100000, 457, 457, 0
100000, 458, 458, 0
100000, 459, 459, 0
100000, 460, 460, 0
100000, 461, 461, 0
100000, 462, 462, 0
100000, 463, 463, 0
100000, 464, 464, 0
100000, 465, 465, 0
100000, 466, 466, 0
100000, 467, 467, 0
100000, 468, 468, 0
100000, 469, 469, 0
100000, 470, 470, 0
100000, 471, 471, 0
100000, 472, 472, 0
100000, 473, 473, 0
100000, 474, 474, 0
100000, 475, 475, 0
100000, 476, 476, 0
100000, 477, 477, 0
100000, 478, 478, 0
100000, 479, 479, 0
100000, 480, 480, 0
100000, 481, 481, 0
100000, 482, 482, 0
100000, 483, 483, 0
100000, 484, 484, 0
100000, 485, 485, 0
100000, 486, 486, 0
100000, 487, 487, 0
100000, 488, 488, 0
100000, 489, 489, 0
100000, 490, 490, 0
100000, 491, 491, 0
100000, 492, 492, 0
100000, 493, 493, 0
100000, 494, 494, 0
100000, 495, 495, 0
100000, 496, 496, 0
100000, 497, 497, 0
100000, 498, 498, 0
100000, 499, 499, 0
100000, 500, 500, 0
100000, 501, 501, 0
100000, 502, 502, 0
100000, 503, 503, 0
100000, 504, 504, 0
100000, 505, 505, 0
100000, 506, 506, 0
100000, 507, 507, 0
100000, 508, 508, 0
100000, 509, 509, 0
100000, 510, 510, 0
100000, 511, 511, 0
100000, 512, 512, 0
100000, 513, 513, 0
100000, 514, 514, 0
100000, 515, 515, 0
100000, 516, 516, 0
100000, 517, 517, 0
100000, 518, 518, 0
100000, 519, 519, 0
100000, 520, 520, 0
100000, 521, 521, 0
100000, 522, 522, 0
100000, 523, 523, 0
100000, 524, 524, 0
100000, 525, 525, 0
100000, 526, 526, 0
100000, 527, 527, 0
100000, 528, 528, 0
100000, 529, 529, 0
100000, 530, 530, 0
100000, 531, 531, 0
100000, 532, 532, 0
100000, 533, 533, 0
100000, 534, 534, 0
100000, 535, 535, 0
100000, 536, 536, 0
100000, 537, 537, 0
100000, 538, 538, 0
100000, 539, 539, 0
100000, 540, 540, 0
100000, 541, 541, 0
100000, 542, 542, 0
100000, 543, 543, 0
100000, 544, 544, 0
100000, 545, 545, 0
100000, 546, 546, 0
100000, 547, 547, 0
100000, 548, 548, 0
100000, 549, 549, 0
100000, 550, 550, 0
100000, 551, 551, 0
100000, 552, 552, 0
100000, 553, 553, 0
100000, 554, 554, 0
100000, 555, 555, 0
100000, 556, 556, 0
100000, 557, 557, 0
100000, 558, 558, 0
100000, 559, 559, 0
100000, 560, 560, 0
100000, 561, 561, 0
100000, 562, 562, 0
100000, 563, 563, 0
100000, 564, 564, 0
100000, 565, 565, 0
100000, 566, 566, 0
100000, 567, 567, 0
100000, 568, 568, 0
100000, 569, 569, 0
100000, 570, 570, 0
100000, 571, 571, 0
100000, 572, 572, 0
100000, 573, 573, 0
100000, 574, 574, 0
100000, 575, 575, 0
100000, 576, 576, 0
100000, 577, 577, 0
100000, 578, 578, 0
100000, 579, 579, 0
100000, 580, 580, 0
100000, 581, 581, 0
100000, 582, 582, 0
100000, 583, 583, 0
100000, 584, 584, 0
100000, 585, 585, 0
100000, 586, 586, 0
100000, 587, 587, 0
100000, 588, 588, 0
100000, 589, 589, 0
100000, 590, 590, 0
100000, 591, 591, 0
100000, 592, 592, 0
100000, 593, 593, 0
100000, 594, 594, 0
100000, 595, 595, 0
100000, 596, 596, 0
100000, 597, 597, 0
100000, 598, 598, 0
100000, 599, 599, 0
100000, 600, 600, 0
100000, 601, 601, 0
100000, 602, 602, 0
100000, 603, 603, 0
100000, 604, 604, 0
100000, 605, 605, 0
100000, 606, 606, 0
100000, 607, 607, 0
100000, 608, 608, 0
100000, 609, 609, 0
100000, 610, 610, 0
100000, 611, 611, 0
100000, 612, 612, 0
100000, 613, 613, 0
100000, 614, 614, 0
100000, 615, 615, 0
100000, 616, 616, 0
100000, 617, 617, 0
100000, 618, 618, 0
100000, 619, 619, 0
100000, 620, 620, 0
100000, 621, 621, 0
100000, 622, 622, 0
100000, 623, 623, 0
100000, 624, 624, 0
100000, 625, 625, 0
100000, 626, 626, 0
100000, 627, 627, 0
100000, 628, 628, 0
100000, 629, 629, 0
100000, 630, 630, 0
100000, 631, 631, 0
100000, 632, 632, 0
100000, 633, 633, 0
100000, 634, 634, 0
100000, 635, 635, 0
100000, 636, 636, 0
100000, 637, 637, 0
100000, 638, 638, 0
100000, 639, 639, 0
100000, 640, 640, 0
100000, 641, 641, 0
100000, 642, 642, 0
100000, 643, 643, 0
100000, 644, 644, 0
100000, 645, 645, 0
100000, 646, 646, 0
100000, 647, 647, 0
100000, 648, 648, 0
100000, 649, 649, 0
100000, 650, 650, 0
100000, 651, 651, 0
100000, 652, 652, 0
100000, 653, 653, 0
100000, 654, 654, 0
100000, 655, 655, 0
100000, 656, 656, 0
100000, 657, 657, 0
100000, 658, 658, 0
100000, 659, 659, 0
100000, 660, 660, 0
100000, 661, 661, 0
100000, 662, 662, 0
100000, 663, 663, 0
100000, 664, 664, 0
100000, 665, 665, 0
100000, 666, 666, 0
100000, 667, 667, 0
100000, 668, 668, 0
100000, 669, 669, 0
100000, 670, 670, 0
100000, 671, 671, 0
100000, 672, 672, 0
100000, 673, 673, 0
100000, 674, 674, 0
100000, 675, 675, 0
100000, 676, 676, 0
100000, 677, 677, 0
100000, 678, 678, 0
100000, 679, 679, 0
100000, 680, 680, 0
100000, 681, 681, 0
100000, 682, 682, 0
100000, 683, 683, 0
100000, 684, 684, 0
100000, 685, 685, 0
100000, 686, 686, 0
100000, 687, 687, 0
100000, 688, 688, 0
100000, 689, 689, 0
100000, 690, 690, 0
100000, 691, 691, 0
100000, 692, 692, 0
100000, 693, 693, 0
100000, 694, 694, 0
100000, 695, 695, 0
